response predictor block
4.52613258275773 1.7164808275269 1
4.59963180926053 1.74875258002192 1
3.88888919053781 2.20386776725372 1
4.05483189421002 2.29553486356222 1
3.72794521278655 2.42789530154413 1
3.74588373572246 2.63434744526146 1
4.42797339291724 2.49325842018659 1
3.87194680458296 2.68423461604834 1
3.21507262523743 2.80125935351329 1
2.65765703451741 2.78511848308391 1
3.43294698360249 2.77608192759005 1
3.06486210616347 2.73502027516495 1
4.07102018371296 2.67572636759578 1
2.20767613642779 2.98878339364735 1
2.92337777042169 2.86874633537756 1
3.19522271843947 3.01578146816924 1
3.21809310207591 2.7060386296566 1
2.74021320397754 2.95671123839035 1
2.77032024243837 3.07731922307827 1
3.33367151590152 2.98109653404071 1
4.47468126028088 2.97290472985689 2
4.44173238921085 2.88837392669935 2
4.79653177993127 3.34020998029247 2
4.41012216951121 3.17662661680498 2
3.78141903542996 3.36243582872693 2
3.54814383596965 3.12197111711969 2
5.40964609394127 3.04992397141754 2
4.40287264849316 2.935835101726 2
3.52950869723274 3.12833113069925 2
3.83265423560961 3.26059180593088 2
3.40933157474846 3.42847177500971 2
3.53417540813965 3.32847248274744 2
3.40276082356871 3.13048750613636 2
3.62774910287624 3.4306735696168 2
3.98917118424005 3.17040893508401 2
3.09084673598372 3.37038220263657 2
1.99529368195668 3.38813025158176 2
3.71143143655513 3.16113123711761 2
3.40057840578946 3.61418050937128 2
3.90157713209373 3.39555975496153 2
4.58093114218378 3.44863644190562 3
4.49427722075578 3.71242222661274 3
3.85119619406041 3.59991771865438 3
4.86253827987472 3.4930493487605 3
4.75957264791992 3.59987171700715 3
4.54152784229245 3.58429769222204 3
4.89510629136744 3.78353092670845 3
4.61631896326291 3.58591527237639 3
4.49678911379104 3.63539302112793 3
4.4846211312659 3.64940082080595 3
4.64157486851812 3.57689042000162 3
4.8324781482385 3.69758380450519 3
4.27457736025981 3.95151783800455 3
4.74356118092942 3.58803812691411 3
3.6051429936869 3.82667022931768 3
3.78822159999149 4.02652964146245 3
4.94746512834867 3.79101966654756 3
3.71604962278913 3.671998501954 3
4.42181125810026 3.70722293559779 3
4.41441886963079 3.78808253308597 3
5.72528966626493 3.76261199463979 4
4.91781635928828 3.90774527244177 4
5.17623606550075 3.90307665424488 4
4.16096838675152 3.9574040799779 4
5.11584436457884 4.05345365897111 4
4.56612967754808 4.10058780767228 4
4.5644870090042 4.31618967883198 4
4.28233318665412 4.12378417211728 4
4.98539764678718 4.20707001409711 4
4.85437713810205 4.47891261972519 4
4.31461440348641 4.53307865178472 4
5.5695461292057 4.34295940283745 4
5.02962798615407 4.30565169912972 4
5.31852691045099 4.15578937617659 4
5.35342270001758 4.67127880081787 4
4.29402466833519 4.38041852704605 4
5.02287670449134 4.3814329319318 4
4.47366960506847 5.01962070190881 4
4.38690568481632 4.61000891713833 4
4.5162284029798 4.64329777598615 4
5.24733351273964 4.24675553588944 5
5.55244365046123 4.68264012340197 5
4.65287781682521 4.99663701736024 5
5.46655746699329 4.94028396426996 5
4.49794222479133 5.09634238321229 5
4.88922216007095 5.27047658347878 5
4.3998591439527 5.17687952946549 5
4.86898778606486 5.00813062437077 5
4.01564592147718 5.20792457297009 5
4.76441466675383 5.29980234970905 5
5.2056051336119 5.28711656109053 5
5.07049129449935 5.02113246703425 5
3.62942279226704 5.48746260101773 5
3.96874348360241 5.72098966808961 5
4.79685263033139 6.03116888816797 5
5.05271405250639 5.85218864028554 5
3.24917922411289 6.16330239188104 5
3.84041674673054 5.97623162385564 5
3.73657933975656 6.44023338470708 5
3.9223226709992 6.23725543943475 5
